"","poem_number","poem_title","book_title","stanza_number","line","line_number"
"1",1,"Introduction","Songs of Innocence",1,"Piping down the valleys wild,",1
"2",1,"Introduction","Songs of Innocence",1,"Piping songs of pleasant glee,",2
"3",1,"Introduction","Songs of Innocence",1,"On a cloud I saw a child,",3
"4",1,"Introduction","Songs of Innocence",1,"And he laughing said to me:",4
"5",1,"Introduction","Songs of Innocence",2,"‘Pipe a song about a Lamb!’",5
"6",1,"Introduction","Songs of Innocence",2,"So I piped with merry cheer.",6
"7",1,"Introduction","Songs of Innocence",2,"‘Piper, pipe that song again.’",7
"8",1,"Introduction","Songs of Innocence",2,"So I piped: he wept to hear.",8
"9",1,"Introduction","Songs of Innocence",3,"‘Drop thy pipe, thy happy pipe;",9
"10",1,"Introduction","Songs of Innocence",3,"Sing thy songs of happy cheer!’",10
"11",1,"Introduction","Songs of Innocence",3,"So I sung the same again,",11
"12",1,"Introduction","Songs of Innocence",3,"While he wept with joy to hear.",12
"13",1,"Introduction","Songs of Innocence",4,"‘Piper, sit thee down and write",13
"14",1,"Introduction","Songs of Innocence",4,"In a book, that all may read.’",14
"15",1,"Introduction","Songs of Innocence",4,"So he vanished from my sight;",15
"16",1,"Introduction","Songs of Innocence",4,"And I plucked a hollow reed,",16
"17",1,"Introduction","Songs of Innocence",5,"And I made a rural pen,",17
"18",1,"Introduction","Songs of Innocence",5,"And I stained the water clear,",18
"19",1,"Introduction","Songs of Innocence",5,"And I wrote my happy songs",19
"20",1,"Introduction","Songs of Innocence",5,"Every child may joy to hear.",20
"21",2,"The Shepherd","Songs of Innocence",1,"How sweet is the shepherd’s sweet lot!",1
"22",2,"The Shepherd","Songs of Innocence",1,"From the morn to the evening he strays;",2
"23",2,"The Shepherd","Songs of Innocence",1,"He shall follow his sheep all the day,",3
"24",2,"The Shepherd","Songs of Innocence",1,"And his tongue shall be fillèd with praise.",4
"25",2,"The Shepherd","Songs of Innocence",2,"For he hears the lambs’ innocent call,",5
"26",2,"The Shepherd","Songs of Innocence",2,"And he hears the ewes’ tender reply;",6
"27",2,"The Shepherd","Songs of Innocence",2,"He is watchful while they are in peace,",7
"28",2,"The Shepherd","Songs of Innocence",2,"For they know when their shepherd is nigh.",8
"29",3,"The Echoing Green","Songs of Innocence",1,"The sun does arise,",1
"30",3,"The Echoing Green","Songs of Innocence",1,"And make happy the skies;",2
"31",3,"The Echoing Green","Songs of Innocence",1,"The merry bells ring",3
"32",3,"The Echoing Green","Songs of Innocence",1,"To welcome the Spring;",4
"33",3,"The Echoing Green","Songs of Innocence",1,"The skylark and thrush,",5
"34",3,"The Echoing Green","Songs of Innocence",1,"The birds of the bush,",6
"35",3,"The Echoing Green","Songs of Innocence",1,"Sing louder around",7
"36",3,"The Echoing Green","Songs of Innocence",1,"To the bells’ cheerful sound;",8
"37",3,"The Echoing Green","Songs of Innocence",1,"While our sports shall be seen",9
"38",3,"The Echoing Green","Songs of Innocence",1,"On the echoing green.",10
"39",3,"The Echoing Green","Songs of Innocence",2,"Old John, with white hair,",11
"40",3,"The Echoing Green","Songs of Innocence",2,"Does laugh away care,",12
"41",3,"The Echoing Green","Songs of Innocence",2,"Sitting under the oak,",13
"42",3,"The Echoing Green","Songs of Innocence",2,"Among the old folk.",14
"43",3,"The Echoing Green","Songs of Innocence",2,"They laugh at our play,",15
"44",3,"The Echoing Green","Songs of Innocence",2,"And soon they all say,",16
"45",3,"The Echoing Green","Songs of Innocence",2,"‘Such, such were the joys",17
"46",3,"The Echoing Green","Songs of Innocence",2,"When we all—girls and boys—",18
"47",3,"The Echoing Green","Songs of Innocence",2,"In our youth-time were seen",19
"48",3,"The Echoing Green","Songs of Innocence",2,"On the echoing green.’",20
"49",3,"The Echoing Green","Songs of Innocence",3,"Till the little ones, weary,",21
"50",3,"The Echoing Green","Songs of Innocence",3,"No more can be merry:",22
"51",3,"The Echoing Green","Songs of Innocence",3,"The sun does descend,",23
"52",3,"The Echoing Green","Songs of Innocence",3,"And our sports have an end.",24
"53",3,"The Echoing Green","Songs of Innocence",3,"Round the laps of their mothers",25
"54",3,"The Echoing Green","Songs of Innocence",3,"Many sisters and brothers,",26
"55",3,"The Echoing Green","Songs of Innocence",3,"Like birds in their nest,",27
"56",3,"The Echoing Green","Songs of Innocence",3,"Are ready for rest,",28
"57",3,"The Echoing Green","Songs of Innocence",3,"And sport no more seen",29
"58",3,"The Echoing Green","Songs of Innocence",3,"On the darkening green.",30
"59",4,"The Lamb","Songs of Innocence",1,"Little lamb, who made thee?",1
"60",4,"The Lamb","Songs of Innocence",1,"Does thou know who made thee,",2
"61",4,"The Lamb","Songs of Innocence",1,"Gave thee life, and bid thee feed",3
"62",4,"The Lamb","Songs of Innocence",1,"By the stream and o’er the mead;",4
"63",4,"The Lamb","Songs of Innocence",1,"Gave thee clothing of delight,",5
"64",4,"The Lamb","Songs of Innocence",1,"Softest clothing, woolly, bright;",6
"65",4,"The Lamb","Songs of Innocence",1,"Gave thee such a tender voice,",7
"66",4,"The Lamb","Songs of Innocence",1,"Making all the vales rejoice?",8
"67",4,"The Lamb","Songs of Innocence",1,"Little lamb, who made thee?",9
"68",4,"The Lamb","Songs of Innocence",1,"Does thou know who made thee?",10
"69",4,"The Lamb","Songs of Innocence",2,"Little lamb, I’ll tell thee;",11
"70",4,"The Lamb","Songs of Innocence",2,"Little lamb, I’ll tell thee:",12
"71",4,"The Lamb","Songs of Innocence",2,"He is callèd by thy name,",13
"72",4,"The Lamb","Songs of Innocence",2,"For He calls Himself a Lamb.",14
"73",4,"The Lamb","Songs of Innocence",2,"He is meek, and He is mild,",15
"74",4,"The Lamb","Songs of Innocence",2,"He became a little child.",16
"75",4,"The Lamb","Songs of Innocence",2,"I a child, and thou a lamb,",17
"76",4,"The Lamb","Songs of Innocence",2,"We are callèd by His name.",18
"77",4,"The Lamb","Songs of Innocence",2,"Little lamb, God bless thee!",19
"78",4,"The Lamb","Songs of Innocence",2,"Little lamb, God bless thee!",20
"79",5,"The Little Black Boy","Songs of Innocence",1,"My mother bore me in the southern wild,",1
"80",5,"The Little Black Boy","Songs of Innocence",1,"And I am black, but O my soul is white!",2
"81",5,"The Little Black Boy","Songs of Innocence",1,"White as an angel is the English child,",3
"82",5,"The Little Black Boy","Songs of Innocence",1,"But I am black, as if bereaved of light.",4
"83",5,"The Little Black Boy","Songs of Innocence",2,"My mother taught me underneath a tree,",5
"84",5,"The Little Black Boy","Songs of Innocence",2,"And, sitting down before the heat of day,",6
"85",5,"The Little Black Boy","Songs of Innocence",2,"She took me on her lap and kissèd me,",7
"86",5,"The Little Black Boy","Songs of Innocence",2,"And, pointing to the East, began to say:",8
"87",5,"The Little Black Boy","Songs of Innocence",3,"‘Look on the rising sun: there God does live,",9
"88",5,"The Little Black Boy","Songs of Innocence",3,"And gives His light, and gives His heat away,",10
"89",5,"The Little Black Boy","Songs of Innocence",3,"And flowers and trees and beasts and men receive",11
"90",5,"The Little Black Boy","Songs of Innocence",3,"Comfort in morning, joy in the noonday.",12
"91",5,"The Little Black Boy","Songs of Innocence",4,"‘And we are put on earth a little space,",13
"92",5,"The Little Black Boy","Songs of Innocence",4,"That we may learn to bear the beams of love;",14
"93",5,"The Little Black Boy","Songs of Innocence",4,"And these black bodies and this sunburnt face",15
"94",5,"The Little Black Boy","Songs of Innocence",4,"Are but a cloud, and like a shady grove.",16
"95",5,"The Little Black Boy","Songs of Innocence",5,"‘For, when our souls have learned the heat to bear,",17
"96",5,"The Little Black Boy","Songs of Innocence",5,"The cloud will vanish, we shall hear His voice,",18
"97",5,"The Little Black Boy","Songs of Innocence",5,"Saying, “Come out from the grove, my love and care,",19
"98",5,"The Little Black Boy","Songs of Innocence",5,"And round my golden tent like lambs rejoice.”’",20
"99",5,"The Little Black Boy","Songs of Innocence",6,"Thus did my mother say, and kissed me,",21
"100",5,"The Little Black Boy","Songs of Innocence",6,"And thus I say to little English boy.",22
"101",5,"The Little Black Boy","Songs of Innocence",6,"When I from black, and he from white cloud free,",23
"102",5,"The Little Black Boy","Songs of Innocence",6,"And round the tent of God like lambs we joy,",24
"103",5,"The Little Black Boy","Songs of Innocence",7,"I’ll shade him from the heat till he can bear",25
"104",5,"The Little Black Boy","Songs of Innocence",7,"To lean in joy upon our Father’s knee;",26
"105",5,"The Little Black Boy","Songs of Innocence",7,"And then I’ll stand and stroke his silver hair,",27
"106",5,"The Little Black Boy","Songs of Innocence",7,"And be like him, and he will then love me.",28
"107",6,"The Blossom","Songs of Innocence",1,"Merry, merry sparrow!",1
"108",6,"The Blossom","Songs of Innocence",1,"Under leaves so green",2
"109",6,"The Blossom","Songs of Innocence",1,"A happy blossom",3
"110",6,"The Blossom","Songs of Innocence",1,"Sees you, swift as arrow,",4
"111",6,"The Blossom","Songs of Innocence",1,"Seek your cradle narrow,",5
"112",6,"The Blossom","Songs of Innocence",1,"Near my bosom.",6
"113",6,"The Blossom","Songs of Innocence",2,"Pretty, pretty robin!",7
"114",6,"The Blossom","Songs of Innocence",2,"Under leaves so green",8
"115",6,"The Blossom","Songs of Innocence",2,"A happy blossom",9
"116",6,"The Blossom","Songs of Innocence",2,"Hears you sobbing, sobbing,",10
"117",6,"The Blossom","Songs of Innocence",2,"Pretty, pretty robin,",11
"118",6,"The Blossom","Songs of Innocence",2,"Near my bosom.",12
"119",7,"The Chimney-Sweeper","Songs of Innocence",1,"When my mother died I was very young,",1
"120",7,"The Chimney-Sweeper","Songs of Innocence",1,"And my father sold me while yet my tongue",2
"121",7,"The Chimney-Sweeper","Songs of Innocence",1,"Could scarcely cry ‘Weep! weep! weep! weep!’",3
"122",7,"The Chimney-Sweeper","Songs of Innocence",1,"So your chimneys I sweep, and in soot I sleep.",4
"123",7,"The Chimney-Sweeper","Songs of Innocence",2,"There’s little Tom Dacre, who cried when his head,",5
"124",7,"The Chimney-Sweeper","Songs of Innocence",2,"That curled like a lamb’s back, was shaved; so I said,",6
"125",7,"The Chimney-Sweeper","Songs of Innocence",2,"‘Hush, Tom! never mind it, for, when your head’s bare,",7
"126",7,"The Chimney-Sweeper","Songs of Innocence",2,"You know that the soot cannot spoil your white hair.’",8
"127",7,"The Chimney-Sweeper","Songs of Innocence",3,"And so he was quiet, and that very night,",9
"128",7,"The Chimney-Sweeper","Songs of Innocence",3,"As Tom was a-sleeping, he had such a sight!—",10
"129",7,"The Chimney-Sweeper","Songs of Innocence",3,"That thousands of sweepers, Dick, Joe, Ned, and Jack,",11
"130",7,"The Chimney-Sweeper","Songs of Innocence",3,"Were all of them locked up in coffins of black.",12
"131",7,"The Chimney-Sweeper","Songs of Innocence",4,"And by came an angel, who had a bright key,",13
"132",7,"The Chimney-Sweeper","Songs of Innocence",4,"And he opened the coffins, and set them all free;",14
"133",7,"The Chimney-Sweeper","Songs of Innocence",4,"Then down a green plain, leaping, laughing, they run",15
"134",7,"The Chimney-Sweeper","Songs of Innocence",4,"And wash in a river, and shine in the sun.",16
"135",7,"The Chimney-Sweeper","Songs of Innocence",5,"Then naked and white, all their bags left behind,",17
"136",7,"The Chimney-Sweeper","Songs of Innocence",5,"They rise upon clouds, and sport in the wind:",18
"137",7,"The Chimney-Sweeper","Songs of Innocence",5,"And the angel told Tom, if he’d be a good boy,",19
"138",7,"The Chimney-Sweeper","Songs of Innocence",5,"He’d have God for his father, and never want joy.",20
"139",7,"The Chimney-Sweeper","Songs of Innocence",6,"And so Tom awoke, and we rose in the dark,",21
"140",7,"The Chimney-Sweeper","Songs of Innocence",6,"And got with our bags and our brushes to work.",22
"141",7,"The Chimney-Sweeper","Songs of Innocence",6,"Though the morning was cold, Tom was happy and warm:",23
"142",7,"The Chimney-Sweeper","Songs of Innocence",6,"So, if all do their duty, they need not fear harm.",24
"143",8,"The Little Boy Lost","Songs of Innocence",1,"‘Father, father, where are you going?",1
"144",8,"The Little Boy Lost","Songs of Innocence",1,"O do not walk so fast!",2
"145",8,"The Little Boy Lost","Songs of Innocence",1,"Speak, father, speak to your little boy,",3
"146",8,"The Little Boy Lost","Songs of Innocence",1,"Or else I shall be lost.’",4
"147",8,"The Little Boy Lost","Songs of Innocence",2,"The night was dark, no father was there,",5
"148",8,"The Little Boy Lost","Songs of Innocence",2,"The child was wet with dew;",6
"149",8,"The Little Boy Lost","Songs of Innocence",2,"The mire was deep, and the child did weep,",7
"150",8,"The Little Boy Lost","Songs of Innocence",2,"And away the vapour flew.",8
"151",9,"The Little Boy Found","Songs of Innocence",1,"The little boy lost in the lonely fen,",1
"152",9,"The Little Boy Found","Songs of Innocence",1,"Led by the wandering light,",2
"153",9,"The Little Boy Found","Songs of Innocence",1,"Began to cry, but God, ever nigh,",3
"154",9,"The Little Boy Found","Songs of Innocence",1,"Appeared like his father, in white.",4
"155",9,"The Little Boy Found","Songs of Innocence",2,"He kissed the child, and by the hand led,",5
"156",9,"The Little Boy Found","Songs of Innocence",2,"And to his mother brought,",6
"157",9,"The Little Boy Found","Songs of Innocence",2,"Who in sorrow pale, through the lonely dale,",7
